Date,Product Link,Product Name,Brand,Star Rating,Number of Ratings,Original Price,Offer Price,Best Sellers Rank,Technical Details,Description
2/19/2023,https://www.amazon.in/Ariete-4618-Liters-Without-Energy/dp/B085WMRLJJ/ref=sr_1_79?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790061&sprefix=air+fryer%2Caps%2C3150&sr=8-79,"        Ariete 4618 Airy Fryer XXL, Air Fryer, 5.5 Liters, Fries Without Oil 2.5 kg of Chips, 1800 Watt, Black [Energy Class A]       ",Ariete,4,"2,833","16,990","13,590.00",Not Available,"{'Special Feature': 'Smart', 'Product Dimensions': '37.5D x 37.5W x 37.5H Centimeters', 'Colour': 'Black', 'Capacity': '5.5 litres', 'Material': 'Stainless Steel, Aluminium', 'Output Wattage': '1800 Watts', 'Item Weight': '6.5 Kilograms', 'Brand': 'Ariete', 'Wattage': '1800 Watts', 'Control Method': 'Touch', 'Model Name': '4618 Airy Fryer XXL', 'Has Nonstick Coating': 'Yes', 'Is Dishwasher Safe': 'No', 'Country of Origin': 'China', 'Item model number': '4618', 'ASIN': 'B085WMRLJJ'}","['Fries without oil: the air fryer technology allows you to fry with a single spoonful of oil in a healthy and light way, but tasty like traditional frying', 'XXL fries: thanks to the extra large 5.5 liter basket you can cook large quantities of dishes (up to 2.5 kg of fries) at once to immediately satisfy the whole family', 'Frying yes, smells no: the air fryer does not disperse the smoke and fried smell typical of the traditional oil fryer in the house', ""Easy to clean: the removable basket is non-stick and easy to clean after each use; it also reduces the environmental impact, because you won't have to dispose of used oil""]"
2/19/2023,https://www.amazon.in/Scizor-Electric-Presets-Digital-Oil-Free/dp/B091CXWFLM/ref=sr_1_94?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790076&sprefix=air+fryer%2Caps%2C3150&sr=8-94,"        Scizor Air Fryer,1350 Watt Electric Air Fryers Grill / Bake / Grill Oven, 8 Cook Presets, LED Digital Touch Screen, BPA Free for Healthy Oil-Free and Low Fat Cooking       ",Scizor,Not Available,3,"18,500","9,999.00","  #1,339,474 in Home & Kitchen (See Top 100 in Home & Kitchen)   #95 in Air Fryers   ","{'Special Feature': 'Temperature Control', 'Colour': 'Black', 'Capacity': '6.5 litres', 'Material': 'Ceramic', 'Recommended Uses For Product': 'Roast, Bake', 'Brand': 'Scizor', 'Wattage': '1350 Watts', 'Has Nonstick Coating': 'Yes', 'Manufacturer': 'Scizor', 'Country of Origin': 'China', 'Item model number': 'Scizor', 'ASIN': 'B091CXWFLM'}","[""★ THE ONLY PRODUCT YOU'LL NEED : This versatile product functions as an air fryer, rotisserie oven and dehydrator, perfect for nearly any cooking task,Make better-for-you fries that are just as crispy and tasty, roast a whole chicken."", '★ HEALTHY MEAL PREP : Healthy cooking made easy Temperature & time-setting adjustable Air fryer eliminates the need for extra oil Healthy options are limitless - Cook, Bake, Grill, Steam Broil, Roast & Air-Fry.', ""★ EFFECTIVE & EVEN COOKING : High temperatures & built-in fan circulates air for moist & savory meals Cooks thoroughly & retains distinct ingredient flavor Up to an hour's worth of cooking time Perfect for meats, steak, pork, chicken, vegetables & more."", '★ Large Capacity & 8 Preset Functions : Large capacity air fryer oven, which can easily meet the needs of a large family,It also has 8 preset functions, each of which has a specific preset temperature and time. You only need to add ingredients and wait for the food to complete automatically.', '★ Large LCD & Large Viewing Window : Air fryer toaster oven with large LED touch screen provides a superb touch experience. The large viewing window helps you observe the entire cooking process, and the formation of the food can be seen throughout.']"
2/19/2023,https://www.amazon.in/Electric-Automatic-Nonstick-Dehydrates-Mechanical/dp/B0B2238WY4/ref=sr_1_179?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790101&sprefix=air+fryer%2Caps%2C3150&sr=8-179,"        Air Fryer, 5.5L Electric Air Fryer Automatic Precise Temp Control Oilless Cooker Electric Oven Fryer Nonstick Electric Food Fryer for Crisps, Roasts, Bakes, Reheats and Dehydrates(Mechanical Models)       ",Not Available,4.3,Not Available,Not Available,"7,999.00",Not Available,{'ASIN': 'B0B2238WY4'},[]
2/19/2023,https://www.amazon.in/Multi-functional-Electric-Nonstick-Roasting-Grilling/dp/B09M73KZHJ/ref=sr_1_107?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790079&sprefix=air+fryer%2Caps%2C3150&sr=8-107,"        Ever Mall Multi-functional 4 Liter Electric Hot Air Fryer Healthy Oven Oilless Cooker Small Air Fryer with Nonstick Frying Pot For Roasting, Frying Grilling, Baking Knob Cooking Air Fryer_(1500W)       ",E-MALL,3.8,Not Available,"17,999","9,098.00","  #2,202,844 in Home & Kitchen (See Top 100 in Home & Kitchen)   #110 in Air Fryers   ","{'Special Feature': 'Temperature Control', 'Colour': 'Multicolour', 'Capacity': '4 litres', 'Material': 'Nonstick', 'Item Weight': '550 Grams', 'Brand': 'E-MALL', 'Wattage': '1500 Watts', 'Model Name': 'Air fryer', 'Has Nonstick Coating': 'No', 'Manufacturer': 'Ever Mall™', 'Country of Origin': 'China', 'Item model number': '23', 'ASIN': 'B09M73KZHJ'}","['The Air Fryer Oven Uses Up to 85% Less Oil than Traditional Deep Frying Methods, Helps to Reduce Calories but Maintain the Same Delicious Flavor and Crispy Taste, Especially Good for People Who Focus on a Healthy Life and Keep Slim Giving a Healthy Lifestyle.', 'The Small Air Fryer Combines 4 Circle Powerful Heating Tube with 360°High Speed Hot Air Circulation Technology, Cooks Evenly and Locks the Moisture in Food, Making the Air Frier More Energy Efficient and Save Cooking Time by 30%~50% than a Classic Oven. The 4.5Quart Air Fryer Basket Meets the Needs of a Family of 2 to 4 Persons, can Hold 12 Pieces of Chicken Wings, 1.3lbs of French Fries, and 2 Big Steaks.', 'The Compact Air Fryer has a Nonstick Coating on the Whole Air Fryer Pan and Tray which is Easy to Clean and Dishwasher Safe. The Air Frier Cookers is PFOA Free & BPA Free 100% Safe Coating Material Ensure Anyone a Healthy Life. With a High Quality PTFE Coating Nonstick Pan, There is No Splashing Fat and Fewer Unpleasant Odors. Air Fryers Best Seller Prime Deal of the Day.', 'Family Size Basket : This large 4 L capacity air-fryer serves the whole family. It makes your cooking effortless and is suitable for every occasion', 'Intelligent Knob & Easy To Use: Rotate the knob to adjust timer & temp according to your cooking needs. Let the knobs take care of your dishes. This air fryer is not just limited to chips; you can cook-up casseroles, curries, beef , chicken breasts, sausages and even desserts.']"
2/19/2023,https://www.amazon.in/Geek-Acis-Functions-Oil-Dispenser/dp/B09PDBL2NB/ref=sr_1_18?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790046&sprefix=air+fryer%2Caps%2C3150&sr=8-18,"        Geek Airocook Aura 5L Digital Air fryer for home | 4 in 1 Appliance with 8 Preset Menu - Air fry, Grill, Toast, Roast & Bake | Soft Touch panel | Low fat, Oil Free Cooking | Recipe book, 1500W, Black       ",Geek,4.2,141,"8,599","4,999.00","  #9,478 in Home & Kitchen (See Top 100 in Home & Kitchen)   #17 in Air Fryers   #49 in Bottle Pour Spouts   ","{'Special Feature': 'Time & Temperature Adjustments, Digital Display, Preset Menus', 'Product Dimensions': '33D x 26W x 32H Centimeters', 'Colour': 'Black', 'Capacity': '5 litres', 'Material': 'Plastic Body with Metal Components', 'Recommended Uses For Product': 'Roast, Broil, Steam, Reheat', 'Output Wattage': '1500 Watts', 'Brand': 'Geek', 'Wattage': '1500.00', 'Voltage': '220 Volts', 'Control Method': 'Touch', 'Model Name': 'AiroCook Aura', 'Has Nonstick Coating': 'Yes', 'Is Dishwasher Safe': 'No', 'Manufacturer': 'HomeEasy Industrial Co. Ltd.', 'Country of Origin': 'China', 'Item model number': 'Aura', 'ASIN': 'B09PDBL2NB'}","['NEW-AGE AIR FRYER: Geek AiroCook Aura 5L Digital air fryer, built with the latest technology and modern design allows you to cook your favourite recipe at home with 85% less fat & 85% less Oil than traditional deep oil-fried foods.', '4-IN-1 APPLIANCES – AiroCook Aura AirFryer does Air fry, Grill, Toast, Roast and Bake which replaces appliances like griller, toaster & sandwich maker.', '8 PRE-SET MENU: 8 Preset cooking menu that lets you cook all kinds of veggies, fries, chicken, desserts, pizza, fish, and prawns and much more in a soft feather touch Digital Panel.', '360° HOT AIR CRISP TECHNOLOGY: The 360° Hot Air Crisp Technology locks the Crunchiness, Fluffiness & Crispiness of your food by evenly cooking.', 'EASE OF USE : The powerful 1500W Smart air fryer lets you cook your food evenly and swiftly. Explore wide array of recipes by setting your time upto 60 minutes and temperate from 80°c to 200°c. Extra-long 1.8 m cord length for easy placement in your kitchen. Built with a large 5L square basket that can suffice a 4 member family.', 'EASY CLEANING: No Stress or Mess! The detachable air frying basket is featured with a friendly non-stick coating which is easy to wipe and clean with a soft damp cloth', 'GLOBAL RECIPES: Download Geek Recipe App that contains exclusive Recipes with Videos covering Fillets, Butternut Squash, Tacos, Bacon & Scotch Eggs etc.']"
2/19/2023,https://www.amazon.in/Borosil-Digital-Display-Functionality-Capacity/dp/B0B9XMWMB4/ref=sr_1_55?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790057&sprefix=air+fryer%2Caps%2C3150&sr=8-55,"        Borosil Best Digi Air Fryer, Air Fryer for Home, Digital Display, 8 i 1 Functionality, 10 Pre-set Menus, 4.7 L Capacity       ",Borosil,3.8,2,"11,990","8,225.00","  #218,810 in Home & Kitchen (See Top 100 in Home & Kitchen)   #56 in Air Fryers   ","{'Product Dimensions': '28D x 35.5W x 29H Centimeters', 'Colour': 'Black', 'Capacity': '4.7 litres', 'Material': 'Plastic', 'Item Weight': '5100 Grams', 'Brand': 'Borosil', 'Wattage': '1300 Watts', 'Voltage': '230 Volts (AC)', 'Model Name': 'Best Digi', 'Manufacturer': 'Borosil Limited', 'Country of Origin': 'India', 'Item model number': 'BAF02', 'ASIN': 'B0B9XMWMB4'}","['8 in 1 FUNCTION - The Borosil Best Digi Air-fryer can be used to fry, bake, grill, roast, dehydrate, among others so you have plenty of options in just one appliance.', 'USES 90% LESS OIL - With our digital air-fryer, fried food can be healthy too! Now prepare samosas, fries, fried chicken without worrying about the calories. The air-fryer prepares food using far less oil than conventional deep-frying.', 'ILLUMINATED EASYVIEW DOUBLE WALL WINDOW - The air fryer basket comes with a window through which you can monitor your food being prepared. ThIt also helps trap the heat inside so that your space does not heat up and the cooking is fast.', 'COOKS EFFORTLESSLY - The touch screen display is easy to use; temperature control up to 200⁰C, 60-min integrated timer with auto-off function and 10 pre-set options make any kitchen task easy – from frying and roasting to dehydrating and baking!', ""PERFECT FOR A FAMILY - Whether you're entertaining or have a large family, the capacity of our Best Digi Air-fryer is just ideal. The 4.7 L air-fryer basket helps you to make plenty of food without having to heat up your oven!""]"
2/19/2023,https://www.amazon.in/Instant-Pot-Vortex-Pro-10/dp/B07VM1HQ87/ref=sr_1_95?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790076&sprefix=air+fryer%2Caps%2C3150&sr=8-95,"        Instant Pot Air Fryer Oven, Vortex Plus 10QT, Rotisserie and Convection Oven, Air Fry, Roast, Bake, Dehydrate and Warm, 1500W, Stainless Steel and Black (10 Quarts)       ",Instant,4.4,"13,950",Not Available,"46,390.00","  #228,029 in Home & Kitchen (See Top 100 in Home & Kitchen)   #58 in Air Fryers   ","{'Brand': 'Instant', 'Colour': 'Gold', 'Capacity': '10 Quarts', 'Special Feature': 'Programmable', 'Product Dimensions': '34.9D x 36.5W x 33.6H Centimeters', 'Wattage': '1500 Watts', 'Material': 'Stainless Steel', 'Included Components': 'Air Fryer', 'Item Weight': '17.5 Pounds', 'Model Name': 'Vortex Pro 10 Qt Air Fryer Oven', 'Finish Type': 'Stainless Steel', 'Manufacturer': 'Instant Pot', 'Item model number': '140-3002-01', 'ASIN': 'B07VM1HQ87'}","['REKNOWNED AIR FRYER: For over 100 years, Instant brands have been innovators in helping people make and enjoy food together. Today, Instant Brands products are in millions of homes worldwide.', '9-IN-1 FUNCTIONALITY: Air fry, bake, broil, dehydrate, roast, proof, toast, reheat and rotisserie. ONE-TOUCH SMART PROGRAMS: Customizable cooking programs for easy chicken wings, roasted veggies, cinnamon buns and more.', 'EVENCRISP TECHNOLOGY: Delivering all the crunch and tenderness of deep-frying with 95% less oil. SEE YOUR FOOD COOK: The glass panel on the oven door takes out the guess work out of air frying and cooking.', 'VERSATILE COUNTERTOP AIR FRYER TOASTER OVEN: Cook perfect rotisserie oven meals or proof dough, bake and toast all in one place. FAST PREHEATING: Little to no preheating time.', 'STAINLESS-STEEL EXTERIOR: for a perfect combination of function and style. OVERHEAT PROTECTION: Built-in safety features like Overheat Protection, auto-off and more.', 'ADJUSTABLE TEMPERATURE: Easily select temperatures from 95 to 400° F. PERFECT SIZE: Holds enough food for growing families, preparing side dishes and appetizers. PROVEN SAFETY FEATURES: Built-in safety features including Overheat Protection and auto-off.', 'INCLUDED ACCESSORIES: Rotisserie basket, rotisserie lift, rotisserie spit, rotisserie forks, drip tray, (2) perforated pans']"
2/19/2023,https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_1_mod_new?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790018&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=air+fryer%2Caps%2C3150&sr=8-1,"        Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green       ",Pigeon,4,408,"7,995","3,543.00",  #63 in Home & Kitchen (See Top 100 in Home & Kitchen)   #1 in Air Fryers   ,"{'Special Feature': 'Digital', 'Product Dimensions': '30D x 22.9W x 29H Centimeters', 'Colour': 'Green', 'Capacity': '4.2 litres', 'Material': 'Stainless Steel, Plastic, Aluminium', 'Recommended Uses For Product': 'Frying without oil, Defrost, Roasting, Grilling, Baking', 'Output Wattage': '1200 Watts', 'Item Weight': '3.5 Kilograms', 'Brand': 'Pigeon', 'Wattage': '1200 Watts', 'Voltage': '220', 'Control Method': 'Touch', 'Model Name': 'Pigeon Healthifry Digital Air Fryer -4.2L', 'Has Nonstick Coating': 'Yes', 'Min Temperature Setting': '80 Degrees', 'Is Dishwasher Safe': 'No', 'Max Temperature Setting': '200 Degrees Celsius', 'Manufacturer': 'Republic of China', 'Country of Origin': 'India', 'Item model number': '15045', 'ASIN': 'B0B8XNPQPN'}","['Only Air Fryer with Appointment Function used to make fried foods such as meat, pastries, and potato chips.', 'AIR FRYER CAPACITY: 4.2 litre capacity is enough to enjoy your favorite French fries, samosas, and nuggets without having to worry', 'HEALTHIER FRIED FOOD: Pigeon Healthifry Digital Air Fryer is a tool that is used to cook food with 85% less oil which means with only one spoon of oil, you can cook your favorite food items. 360° HIGH SPEED AIR CIRCULARION TECHNOLOGY: Air fryers work by circulating hot air around a food item to create the same crispiness as traditional fried foods.', 'POWERFUL 1200 Watts: It heats up very quickly, cook food evenly and swiftly due to the combined presence of a concentrated heat source and the size and placement of the fan.', 'NON-STICK FOOD BASKET: 4.2 L Food Basket is Non-Stick that will allow food to be brown without sticking to the pan.']"
2/19/2023,https://www.amazon.in/Morphy-Richards-Digital-Air-Fryer/dp/B0BPYPPVBG/ref=sr_1_17?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790046&sprefix=air+fryer%2Caps%2C3150&sr=8-17,        Morphy Richards 5L Digital Air Fryer       ,Morphy Richards,4.5,54,"16,999","7,999.00","  #14,249 in Home & Kitchen (See Top 100 in Home & Kitchen)   #21 in Air Fryers   ","{'Product Dimensions': '35.7D x 35.2W x 35.2H Centimeters', 'Colour': 'Black', 'Capacity': '5 litres', 'Material': 'Plastic', 'Item Weight': '4300 Grams', 'Brand': 'Morphy Richards', 'Has Nonstick Coating': 'Yes', 'Manufacturer': 'Jufa', 'Country of Origin': 'China', 'Item model number': '510056', 'ASIN': 'B0BPYPPVBG'}","['Morphy Richards 5L Digital Air Fryer have 65% less fat & 15 % more protein retention', 'Morphy Richards 5L Digital Air Fryer has digital control & 8 preset menus which offers easy cooking options', 'Dual fan technology for efficient heat circulation and adjustable time & temperature control', 'Voltage fluctuation protection ensures safe operations and non stick coated basket & accessories', 'Cooking continuity function for maximum cooking convenience and comes with 2 year product warranty']"
2/19/2023,https://www.amazon.in/Pringle-Air-Oven-Technology-Traditional/dp/B09K69F5RX/ref=sr_1_67?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790061&sprefix=air+fryer%2Caps%2C3150&sr=8-67,"        Pringle Air Oven 23 Litres With Aero Crisp Technology 5 in one Traditional Air Fryer Oven | - Dehydrator, Air Fryer, Convection Oven with rotisserie | Preset Function - Toast, Bake, Broil, Air Fry and Reheat| Watt:1650W       ",PRINGLE,4,3,"15,700","10,999.00","  #183,382 in Home & Kitchen (See Top 100 in Home & Kitchen)   #51 in Air Fryers   ","{'Special Feature': 'Temperature Control', 'Product Dimensions': '41D x 37W x 37H Centimeters', 'Colour': 'Black', 'Capacity': '22 litres', 'Material': 'Steel', 'Recommended Uses For Product': 'Roast, Broil, Bake, Reheat', 'Item Weight': '4 Kilograms', 'Brand': 'PRINGLE', 'Manufacturer': 'Pringle Homeware Pvt Ltd', 'Country of Origin': 'China', 'Item model number': 'Air Oven 25', 'ASIN': 'B09K69F5RX'}","['5-in-1 Design : Now, bake and air fry your favourites with 85% less fat and oil-free with Geek AiroCook Iris+ Smart Air fryer oven that replaces your countertop oven/toaster / OTG / Air fryer/ griller. Does the job of all!', 'Aero crisp technology quickly disperses heated air in all directions. It also evenly cooks the food, preserving the crispy exterior texture. It even helps to keep the moisture in your food. The technology of Hot Air -It has a 360-degree air circulation system. As a result, the hot air and the fan have the ability to distribute heat in all directions.', '360° Air Heating : Featured with 360° hot air circulation technology, the air fryer oven helps you achieve crispy food in no time by distributing heat in all directions. The 25L Oven Toaster griller gives you the advantage of cooking for a large family at once', '\u200eINCLUDED COMPONENTS :\xa0Frying cage, turnspit ,frying basket ,frying net, enameled backing tray , wire rack and two carrying handles', 'Smart Control : Set your desired time, temperature, function, and toast level with the rotatory knob. Auto shut off feature relieves you from monitoring whereas the transparent toughened glass with a cool-touch handle is an added advantage', 'Versatile : Built with Rotisserie function Pringle smart oven can grill, bake, roast and air fry all your favorites. Expand your cooking options with us - Make cake, chicken, pizza, steak, cookies, fries, kebabs, and veg skewers. All in one electric oven fryer.']"
2/19/2023,https://www.amazon.in/COSORI-Recipes-Upgrade-Customizable-Reminder/dp/B085W3GN5J/ref=sr_1_121?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790084&sprefix=air+fryer%2Caps%2C3150&sr=8-121,"        COSORI Air Fryer(100 Recipes), 12-in-1 Large XL Air Fryer Oven with Upgrade Customizable 10 Presets, Preheat, Shake Reminder,डिजिटल हॉट ऑयललेस कुकर, 5.8QT,ब्लैक       ",COSORI,3.9,"10,967","46,445","44,890.00",Not Available,"{'Special Feature': 'Temperature Control', 'Capacity': '5.8 Quarts', 'Material': 'Plastic', 'Recommended Uses For Product': 'Bake', 'Output Wattage': '1700 Watts', 'Item Weight': '12.3 Pounds', 'Brand': 'COSORI', 'Wattage': '1700 Watts', 'Voltage': '110 Volts', 'Control Method': 'Touch', 'Has Nonstick Coating': 'Yes', 'Min Temperature Setting': '77 Degrees Celsius', 'Is Dishwasher Safe': 'Yes', 'Max Temperature Setting': '205 Degrees Celsius', 'Item model number': 'CP358-AF', 'ASIN': 'B085W3GN5J'}",['Temperature Control']
2/19/2023,https://www.amazon.in/SYPRAM-PRODUCTIONS-Selection-Adjustable-Temperature/dp/B09LYQKG52/ref=sr_1_89?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790076&sprefix=air+fryer%2Caps%2C3150&sr=8-89,"        SYPRAM PRODUCTIONS Air Fryer Oven , 4.0 L / 1500W Oven with Touch Control Panel, 6 Cooking Presets Timer Selection and Fully Adjustable Temperature Control with (Black)       ",SYPRAM PRODUCTIONS,4.5,Not Available,"18,200","9,080.00",Not Available,"{'Colour': 'black', 'Capacity': '4 litres', 'Material': 'Non stick+ PLASTIC', 'Item Weight': '350 Grams', 'Brand': 'SYPRAM PRODUCTIONS', 'Wattage': '1500 Watts', 'Model Name': 'healthy air fryer', 'Manufacturer': 'SYPRAM PRODUCTIONS', 'Country of Origin': 'China', 'Item model number': '1', 'ASIN': 'B09LYQKG52'}","['♠HEALTHY FRYING: This appliance uses air crisp technology to cook healthy-low fat versions of your favorite foods,using little to no oil. Deliver a much healthier version of the same food with great crispy fried taste and texture', '♠EFFORTLESS COOKING: Prepare amazing meals from your cookbook such as french fries,chicken,steak,pudding and donuts.Make yourself feel like a professional chef in your kitchen with this air fryer that will replace any one of your kitchen appliances', '♠FAST & EFFICIENT HEATING: With 1500W of power, this air fryer heats up in 1.-30 minutes and cooks food faster than a conventional oven so you can save money at the same time as cutting down the calories', '♠FAMILY SIZE BASKET: With 4 L Food Basket capacity, this air-fryer serves the whole family. It makes your cooking effortless and is suitable for every occasion']"
2/19/2023,https://www.amazon.in/SHOPPOFOBIX-Air-Fry-1500W-Technology-8-Preset/dp/B0BBVKKPX9/ref=sr_1_85?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790076&sprefix=air+fryer%2Caps%2C3150&sr=8-85,"        SHOPPOFOBIX Air Fryer Digital Nutri Fry-1500W 5L,Smart Air Crisp Technology| 8-Preset, Touch Control & Digital Display| Variable Temp& Timer Control       ",SHOPPOFOBIX,3.8,Not Available,"5,999","4,599.00","  #1,363,502 in Home & Kitchen (See Top 100 in Home & Kitchen)   #96 in Air Fryers   ","{'Special Feature': 'Temperature Control', 'Product Dimensions': '25D x 25W x 42H Centimeters', 'Capacity': '5 litres', 'Material': 'Plastic', 'Recommended Uses For Product': 'Steam', 'Brand': 'SHOPPOFOBIX', 'Wattage': '1500 Watts', 'Voltage': '220 Volts', 'Control Method': 'Touch', 'Manufacturer': 'SHOPPOFOBIX', 'Country of Origin': 'China', 'Item model number': 'Air fryer', 'ASIN': 'B0BBVKKPX9'}","['Oil-free fryer: Fryer with Air System Technology that with hot air at high speed and constant temperature fries with little or no oil and achieves much healthier frying, with less than 99% fat and a crispy and tasty result', '8 preset programs: The 8 preset programs of Air Fry Digital will allow you to cook: frozen potatoes, natural potatoes, all kinds of vegetables, chicken, sausages, meat, fish, cakes and much more!', 'Fully digital: Fryer with digital touch screen and very easy to use. Set time between 1 and 60 minutes and the temperature between 80ºC and 200ºC. It has a buzzer at the end of cooking, cold touch handle and non-slip feet', 'High capacity: 4 liters of capacity that allow to make up to 9 grams of potatoes, equivalent to 5/6 servings. It has 1400W of power that ensures fast and homogeneous cooking']"
2/19/2023,https://www.amazon.in/Inalsa-Stainless-Sous-Chef-1650-Temperature/dp/B097TRNFQF/ref=sr_1_21?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790046&sprefix=air+fryer%2Caps%2C3150&sr=8-21,"        INALSA Air Fryer Digital 6.5 L Sous Chef-1650 Watt with 8 Preset Programs, Variable Temperature Control & Auto Shake Reminder|Free Recipe book|2 Year Warranty(Black/Silver)       ",Inalsa,3.9,295,"13,995","8,289.00","  #20,110 in Home & Kitchen (See Top 100 in Home & Kitchen)   #23 in Air Fryers   ","{'Special Feature': 'Temperature Control', 'Product Dimensions': '29.2D x 40.5W x 34.2H Centimeters', 'Colour': 'Black/Silver', 'Capacity': '6.5 litres', 'Material': 'Stainless Steel', 'Recommended Uses For Product': 'Bake, Reheat', 'Item Weight': '5700 Grams', 'Brand': 'Inalsa', 'Voltage': '240', 'Control Method': 'Touch', 'Model Name': 'Sous Chef', 'Has Nonstick Coating': 'Yes', 'Manufacturer': 'Tuareg Marketing Pvt. Ltd. Khasra No- 1189, Bhalswa, New Delhi-110033, India. Contact- 9773982065', 'Country of Origin': 'China', 'Imported By': 'Tuareg Marketing Pvt. Ltd. Khasra No- 1189, Bhalswa, New Delhi-110033, Delhi, India. Contact No. 9773982065, E-mail: customercare@inalsa.co.in ; Website: inalsaapliances.com', 'Item model number': 'Sous Chef', 'ASIN': 'B097TRNFQF'}","[""8 PRESET MENU: Air Fry Digital's 8 preset programs will let you cook frozen potatoes, natural potatoes, all kinds of vegetables, chicken, sausage, meat, fish, cakes and more!"", 'FULLY DIGITAL: Fryer with LED display & smart touch control. Set the time between 1 and 6 min and the temperature between 4 and 2 °C. It has a buzzer when it is finished cooking, a cool to the touch handle and non-slippery handles.', 'HUGE CAPACITY: 5.5 litres basket capacity & 6.5 litres pan capacity which allows to make 12 grams of potatoes which is equal to 7/8 servings. It has 165 W of power which ensures fast and uniform cooking.', 'Cool touch handle with Basket release button', 'Smoke vent for absorbing unwanted smell & smoke', 'Overheat Safety Protection', 'Auto Shut Off & Auto Shake Reminder', 'Variable Temperature Control & Timer upto 6 minutes']"
2/19/2023,https://www.amazon.in/Delavala-1300-1500W-Nonstick-Adjustable-Temperature/dp/B09W5XRMDW/ref=sr_1_114?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790084&sprefix=air+fryer%2Caps%2C3150&sr=8-114,        Delavala Air Fryer 4.0 L / 1300-1500W Healthy Air Fryer Oven Oil Free Nonstick Basket Cooker Hot Air Fryer With 30 Minute Timer Adjustable Temperature Control Baking and Grilling Pan with Large Basket       ,Delavala,4.3,Not Available,"18,500","9,098.00",Not Available,"{'Colour': 'Black', 'Capacity': '4 litres', 'Material': 'Plastic + Steel', 'Brand': 'Delavala', 'Wattage': '1500 Watts', 'Has Nonstick Coating': 'Yes', 'Manufacturer': 'Delavala', 'Country of Origin': 'India', 'Item model number': 'DL-49567', 'ASIN': 'B09W5XRMDW'}","['HEALTHY & FLAVORFUL COOKING FOR YOUR ENTIRE FAMILY - 1400W Power Air Fryer basket holds up to 4 Quarts (4 Liters).', 'The adjustable dial ranges up-to 200 Degree so you can easily cook a variety of meals, including Vegetables, Fish, Chips, Chicken and Cakes.', 'Releasing the safety-catch reveals a large and removable non-stick food basket and convenient drip-tray drawer. Both parts are dishwasher safe for easy cleaning.', 'Fast-Heating and Adjustable Temperature Control -- With 1300 w of power, this air fryer heats up in 2-3 minutes and cooks food faster than a conventional oven so you can save money at the same time as cutting down the calories', 'Intelligent Knob & Easy To Use: Rotate the knob to adjust timer & temp according to your cooking needs. Let the knobs take care of your dishes. This air fryer is not just limited to chips; you can cook-up casseroles, curries, beef , chicken breasts, sausages and even desserts']"
2/19/2023,https://www.amazon.in/Automatic-Capacity-Multiple-Function-Dehydrator/dp/B0BGNBXN1Y/ref=sr_1_148?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676790093&sprefix=air+fryer%2Caps%2C3150&sr=8-148,        Air Fryer Fully Automatic ligent 12L Large Capacity 1800W High Power Multiple Function Electric Oven Dehydrator       ,AIXING,3.8,Not Available,Not Available,"7,999.00",Not Available,"{'Brand': 'AIXING', 'Manufacturer': 'AIXING', 'Package Dimensions': '37 x 37 x 35.2 cm', 'Item part number': 'INAIXINGH45546EUREK', 'Material': 'Glass'}","['This visual oven adopts 12L large capacity space, 1800W large power, high efficiency, with timing, LED display, adjustable thermostat with touch screen and functions, can also be used as a dryer, air fryer, dehydrator, a wide range of applications.', 'The adjustable temperature of this oven is 80-200℃, and the adjustable time is 0-60 minutes. The temperature and time can be adjusted accorg to different cooking materials and different needs, making delicious food easily.', 'This oven has built-in rotating grill, transparent glass cover with thickened glass panel, two layers of heat insulation Windows, to realize visual cooking under the premise of safety, watch the food cooking situation at any time, and master the time and temperature.', 'This oven has two heating methods, heat and hot air circulation at the same time, more powerful heat, more efficient cooking, with little or no oil, you can eat crispy food inside. You can enjoy your favorite foods without worrying about extra calories and fat.', 'The operation of this oven is very simple, with a digital touch screen control panel, it makes it easier to see the number of minutes, temperature and controls or modes to cook different types of food.']"
